dataset,seed,rate,mode,inherited,source_metadata,checkpoint,checkpoint_sha256,mask_sha256
iemocap4,66,0.3,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,4dd5f6911b6072900e7510168a9e1651f8f0d92894594bd9c3218f45250e1001
iemocap4,66,0.3,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,4dd5f6911b6072900e7510168a9e1651f8f0d92894594bd9c3218f45250e1001
iemocap4,66,0.5,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,98b854cbef5c8284b504afa1a641de04a06b88c39cf46b45417b5811f2d43dc8
iemocap4,66,0.5,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,98b854cbef5c8284b504afa1a641de04a06b88c39cf46b45417b5811f2d43dc8
iemocap4,66,0.5,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,98b854cbef5c8284b504afa1a641de04a06b88c39cf46b45417b5811f2d43dc8
iemocap4,66,0.5,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,98b854cbef5c8284b504afa1a641de04a06b88c39cf46b45417b5811f2d43dc8
iemocap4,66,0.7,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,5af626a4503fa4cbae9fcace0c5964d58a2b46b9a6e5aec7ac65e1f3cbaa471f
iemocap4,66,0.7,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,5af626a4503fa4cbae9fcace0c5964d58a2b46b9a6e5aec7ac65e1f3cbaa471f
iemocap4,66,0.7,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,5af626a4503fa4cbae9fcace0c5964d58a2b46b9a6e5aec7ac65e1f3cbaa471f
iemocap4,66,0.7,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,5af626a4503fa4cbae9fcace0c5964d58a2b46b9a6e5aec7ac65e1f3cbaa471f
iemocap4,67,0,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,762c4996804a2959a273b5ffbeac9a8d5c51bbc521350403e062aa39363ab7c2
iemocap4,67,0,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,762c4996804a2959a273b5ffbeac9a8d5c51bbc521350403e062aa39363ab7c2
iemocap4,67,0,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,762c4996804a2959a273b5ffbeac9a8d5c51bbc521350403e062aa39363ab7c2
iemocap4,67,0,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,762c4996804a2959a273b5ffbeac9a8d5c51bbc521350403e062aa39363ab7c2
iemocap4,67,0.1,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,46a57f47ddf60a79d084f2c7d3159250359564d0c627109d8b5f550ebe9ef4cd
iemocap4,67,0.1,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,46a57f47ddf60a79d084f2c7d3159250359564d0c627109d8b5f550ebe9ef4cd
iemocap4,67,0.1,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,46a57f47ddf60a79d084f2c7d3159250359564d0c627109d8b5f550ebe9ef4cd
iemocap4,67,0.1,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,46a57f47ddf60a79d084f2c7d3159250359564d0c627109d8b5f550ebe9ef4cd
iemocap4,67,0.3,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,7219183e3191c72cb7629763c81b810e693fa61d1ef0e7b9c6a442f9e3f35a97
iemocap4,67,0.3,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,7219183e3191c72cb7629763c81b810e693fa61d1ef0e7b9c6a442f9e3f35a97
iemocap4,67,0.3,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,7219183e3191c72cb7629763c81b810e693fa61d1ef0e7b9c6a442f9e3f35a97
iemocap4,67,0.3,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,7219183e3191c72cb7629763c81b810e693fa61d1ef0e7b9c6a442f9e3f35a97
iemocap4,67,0.5,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,ce5236aef6b3dd9759605605156f0d180441ffb0b876513613eb983cedb7d652
iemocap4,67,0.5,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,ce5236aef6b3dd9759605605156f0d180441ffb0b876513613eb983cedb7d652
iemocap4,67,0.5,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,ce5236aef6b3dd9759605605156f0d180441ffb0b876513613eb983cedb7d652
iemocap4,67,0.5,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,ce5236aef6b3dd9759605605156f0d180441ffb0b876513613eb983cedb7d652
iemocap4,67,0.7,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,91d76c9d584733224f8a17c9f53e410e67381d032b2af7dd0b0d501b0c63da79
iemocap4,67,0.7,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,91d76c9d584733224f8a17c9f53e410e67381d032b2af7dd0b0d501b0c63da79
iemocap4,67,0.7,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,91d76c9d584733224f8a17c9f53e410e67381d032b2af7dd0b0d501b0c63da79
iemocap4,67,0.7,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed67/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_67/best.pt,5ce1e0e17d91b58476e8fa4fc68575e8f99c0a8a0f54749d20851484510c0a16,91d76c9d584733224f8a17c9f53e410e67381d032b2af7dd0b0d501b0c63da79
iemocap4,68,0,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,adcc39e074adc1b56931aa5cf5fe914888669640bcc22aa4d264963e7b352170
iemocap4,68,0,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,adcc39e074adc1b56931aa5cf5fe914888669640bcc22aa4d264963e7b352170
iemocap4,68,0,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,adcc39e074adc1b56931aa5cf5fe914888669640bcc22aa4d264963e7b352170
iemocap4,68,0,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,adcc39e074adc1b56931aa5cf5fe914888669640bcc22aa4d264963e7b352170
iemocap4,68,0.1,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,9a598785a8c0a022641f725b8016d2a09f2c53d8a4e683a931478a5f9d460a68
iemocap4,68,0.1,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,9a598785a8c0a022641f725b8016d2a09f2c53d8a4e683a931478a5f9d460a68
iemocap4,68,0.1,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,9a598785a8c0a022641f725b8016d2a09f2c53d8a4e683a931478a5f9d460a68
iemocap4,68,0.1,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,9a598785a8c0a022641f725b8016d2a09f2c53d8a4e683a931478a5f9d460a68
iemocap4,68,0.3,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,492c304c7decdfc8922168fd5a93eec2c31f6ee44b4b7f23df1a3daa39411079
iemocap4,68,0.3,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,492c304c7decdfc8922168fd5a93eec2c31f6ee44b4b7f23df1a3daa39411079
iemocap4,68,0.3,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,492c304c7decdfc8922168fd5a93eec2c31f6ee44b4b7f23df1a3daa39411079
iemocap4,68,0.3,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,492c304c7decdfc8922168fd5a93eec2c31f6ee44b4b7f23df1a3daa39411079
iemocap4,68,0.5,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,4e96c34b96790df2f13e809b017a8199c9083e22ed98ae3e5ee3e433c076f390
iemocap4,68,0.5,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,4e96c34b96790df2f13e809b017a8199c9083e22ed98ae3e5ee3e433c076f390
iemocap4,68,0.5,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,4e96c34b96790df2f13e809b017a8199c9083e22ed98ae3e5ee3e433c076f390
iemocap4,68,0.5,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,4e96c34b96790df2f13e809b017a8199c9083e22ed98ae3e5ee3e433c076f390
iemocap4,68,0.7,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,611e47efad71065f6bc3907e62b564e7094c6640e2d479b6713c5cbccefc7a79
iemocap4,68,0.7,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,611e47efad71065f6bc3907e62b564e7094c6640e2d479b6713c5cbccefc7a79
iemocap4,68,0.7,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,611e47efad71065f6bc3907e62b564e7094c6640e2d479b6713c5cbccefc7a79
iemocap4,68,0.7,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed68/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_68/best.pt,c6458ac89b04de47b0377cb7bd7c82b8ba28676193ad6af4e649a175f38be840,611e47efad71065f6bc3907e62b564e7094c6640e2d479b6713c5cbccefc7a79
iemocap4,69,0,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed69/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_69/best.pt,98f355a5d434c973eb6a6d5c4d48df137d25f14f7f28d44509127e899ee71391,e7868e6fab4252c86dc02fc8ec67f53acd786faf1fd4bea2a97fa80226ada3dc
