audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1812 validation_wf1=0.0906 task=1.8154 recon=3.5000
epoch=083 train_wf1=0.7436 validation_wf1=0.5750 task=0.6093 recon=3.4942
epoch=084 train_wf1=0.7438 validation_wf1=0.5418 task=0.6275 recon=3.4923
epoch=085 train_wf1=0.7354 validation_wf1=0.6000 task=0.6220 recon=3.5064
epoch=086 train_wf1=0.7578 validation_wf1=0.5830 task=0.5938 recon=3.4581
epoch=087 train_wf1=0.7646 validation_wf1=0.6096 task=0.5914 recon=3.4591
epoch=088 train_wf1=0.7639 validation_wf1=0.5871 task=0.5845 recon=3.4996
epoch=089 train_wf1=0.7605 validation_wf1=0.6050 task=0.5848 recon=3.4680
epoch=090 train_wf1=0.7673 validation_wf1=0.5980 task=0.5810 recon=3.4488
epoch=091 train_wf1=0.7618 validation_wf1=0.6011 task=0.5895 recon=3.4910
epoch=092 train_wf1=0.7543 validation_wf1=0.5902 task=0.5976 recon=3.5124
epoch=093 train_wf1=0.7742 validation_wf1=0.5940 task=0.5712 recon=3.4622
epoch=094 train_wf1=0.7696 validation_wf1=0.5859 task=0.5729 recon=3.4486
epoch=095 train_wf1=0.7728 validation_wf1=0.5856 task=0.5822 recon=3.4529
epoch=096 train_wf1=0.7944 validation_wf1=0.6014 task=0.5085 recon=3.5188
epoch=097 train_wf1=0.7891 validation_wf1=0.6083 task=0.5223 recon=3.4361
epoch=098 train_wf1=0.7945 validation_wf1=0.6133 task=0.5078 recon=3.4734
epoch=099 train_wf1=0.7949 validation_wf1=0.6041 task=0.5172 recon=3.4930
epoch=100 train_wf1=0.7941 validation_wf1=0.6260 task=0.5190 recon=3.4885
