method,mode,seed,rate,pattern,n,weighted_f1
U1,Original,67,0.3,T,58,84.07061024082302
U1,Original,67,0.3,TV,93,86.56481227733624
U1,Original,67,0.3,A,49,76.05416737492209
U1,Original,67,0.3,AV,103,66.52973195029269
U1,Original,67,0.3,AT,97,93.70574162679426
U1,Original,67,0.3,ATV,233,82.95098247854153
U1,Original,67,0.4,V,94,53.61266371327233
U1,Original,67,0.4,T,90,86.36363636363636
U1,Original,67,0.4,TV,85,86.59206391165154
U1,Original,67,0.4,A,79,66.1699882038865
U1,Original,67,0.4,AV,92,63.84291480309806
U1,Original,67,0.4,AT,93,81.05166685760109
U1,Original,67,0.4,ATV,153,84.36397115237074
U1,Original,67,0.5,V,120,66.68785235613232
U1,Original,67,0.5,T,110,82.44897959183673
U1,Original,67,0.5,TV,85,88.33474218089603
U1,Original,67,0.5,A,125,59.56068605971894
U1,Original,67,0.5,AV,85,61.00427350427351
U1,Original,67,0.5,AT,81,82.62891435059143
U1,Original,67,0.5,ATV,80,88.04782596184282
U1,Original,67,0.6,V,161,57.77086905373461
U1,Original,67,0.6,T,153,83.76765144776789
U1,Original,67,0.6,TV,58,91.52551383882526
U1,Original,67,0.6,A,148,66.87395639608171
U1,Original,67,0.6,AV,65,68.71945259042033
U1,Original,67,0.6,AT,68,91.12721277334259
U1,Original,67,0.6,ATV,33,83.66228070175438
U1,Original,67,0.7,V,187,70.40146840584238
U1,Original,67,0.7,T,171,86.6020508554563
U1,Original,67,0.7,TV,41,73.68421052631578
U1,Original,67,0.7,A,168,72.13812642442645
U1,Original,67,0.7,AV,55,53.84615384615385
U1,Original,67,0.7,AT,46,95.47348484848487
U1,Original,67,0.7,ATV,18,94.42724458204333
U1,Original,68,0.0,V,0,None
U1,Original,68,0.0,T,0,None
U1,Original,68,0.0,TV,0,None
U1,Original,68,0.0,A,0,None
U1,Original,68,0.0,AV,0,None
U1,Original,68,0.0,AT,0,None
U1,Original,68,0.0,ATV,686,87.74958571752225
U1,Original,68,0.1,V,3,66.66666666666666
U1,Original,68,0.1,T,8,73.33333333333334
U1,Original,68,0.1,TV,75,90.12499752382084
U1,Original,68,0.1,A,4,85.71428571428571
U1,Original,68,0.1,AV,57,63.48927753052368
U1,Original,68,0.1,AT,50,87.12605983042712
U1,Original,68,0.1,ATV,489,86.45065650977665
U1,Original,68,0.2,V,29,64.72148541114058
U1,Original,68,0.2,T,19,78.94736842105263
U1,Original,68,0.2,TV,97,83.64491367188401
U1,Original,68,0.2,A,25,61.316770186335404
U1,Original,68,0.2,AV,91,77.60863456802367
U1,Original,68,0.2,AT,83,91.08692176895464
U1,Original,68,0.2,ATV,342,85.45869929339977
U1,Original,68,0.3,V,41,63.814960338053226
U1,Original,68,0.3,T,63,86.29624909731957
U1,Original,68,0.3,TV,102,85.51320311086995
U1,Original,68,0.3,A,49,64.16401728213906
U1,Original,68,0.3,AV,97,74.02841576754619
U1,Original,68,0.3,AT,96,89.24731182795699
U1,Original,68,0.3,ATV,238,86.35801414974016
U1,Original,68,0.4,V,70,63.262882562957024
U1,Original,68,0.4,T,68,92.19322344322345
U1,Original,68,0.4,TV,108,89.24365959937049
U1,Original,68,0.4,A,87,73.97435897435896
U1,Original,68,0.4,AV,92,52.83005337862973
U1,Original,68,0.4,AT,96,84.90126281888296
U1,Original,68,0.4,ATV,165,88.51514054415868
U1,Original,68,0.5,V,105,63.12755102040817
U1,Original,68,0.5,T,117,86.20689655172413
U1,Original,68,0.5,TV,90,87.0755270744893
U1,Original,68,0.5,A,116,71.56922101470286
U1,Original,68,0.5,AV,88,65.06024096385542
U1,Original,68,0.5,AT,92,86.29227914942201
U1,Original,68,0.5,ATV,78,85.47553093259464
U1,Original,68,0.6,V,152,60.0
U1,Original,68,0.6,T,150,84.95555902073912
U1,Original,68,0.6,TV,67,88.93991282689913
U1,Original,68,0.6,A,154,66.98536585365854
U1,Original,68,0.6,AV,52,75.4971590909091
U1,Original,68,0.6,AT,73,87.10342611794259
U1,Original,68,0.6,ATV,38,97.35104452253157
U1,Original,68,0.7,V,203,57.39783479979687
U1,Original,68,0.7,T,137,87.88657149696596
U1,Original,68,0.7,TV,44,81.13165266106444
U1,Original,68,0.7,A,188,55.59238996783908
U1,Original,68,0.7,AV,46,64.11522633744856
U1,Original,68,0.7,AT,46,88.69149718206323
U1,Original,68,0.7,ATV,22,81.81818181818183
U1,Original,69,0.0,V,0,None
U1,Original,69,0.0,T,0,None
U1,Original,69,0.0,TV,0,None
U1,Original,69,0.0,A,0,None
U1,Original,69,0.0,AV,0,None
U1,Original,69,0.0,AT,0,None
U1,Original,69,0.0,ATV,686,87.20121463804566
U1,Original,69,0.1,V,7,79.12087912087912
U1,Original,69,0.1,T,7,83.80952380952381
U1,Original,69,0.1,TV,52,83.6734693877551
U1,Original,69,0.1,A,9,64.28571428571428
U1,Original,69,0.1,AV,58,55.660618451316125
U1,Original,69,0.1,AT,49,85.23954116059379
U1,Original,69,0.1,ATV,504,86.7436103071934
U1,Original,69,0.2,V,24,83.33333333333334
U1,Original,69,0.2,T,23,91.30434782608695
U1,Original,69,0.2,TV,80,83.06531411910676
U1,Original,69,0.2,A,29,62.988505747126446
U1,Original,69,0.2,AV,87,67.5266758873118
U1,Original,69,0.2,AT,96,83.42857142857143
U1,Original,69,0.2,ATV,347,84.6539304729095
U1,Original,69,0.3,V,46,70.50108932461875
U1,Original,69,0.3,T,45,82.47413405308141
U1,Original,69,0.3,TV,102,83.42074592074593
U1,Original,69,0.3,A,50,59.19984777127634
U1,Original,69,0.3,AV,94,71.29919261066803
U1,Original,69,0.3,AT,105,89.33083490504036
U1,Original,69,0.3,ATV,244,86.92056722550394
U1,Original,69,0.4,V,79,63.58846241199182
U1,Original,69,0.4,T,78,84.3216358109975
U1,Original,69,0.4,TV,96,91.14560366875386
U1,Original,69,0.4,A,90,65.27493554019675
U1,Original,69,0.4,AV,101,65.91373950038181
U1,Original,69,0.4,AT,91,85.76134453781512
U1,Original,69,0.4,ATV,151,84.40474332969262
U1,Original,69,0.5,V,125,68.95695174544103
U1,Original,69,0.5,T,133,89.51000690131124
U1,Original,69,0.5,TV,88,76.29249671955148
U1,Original,69,0.5,A,123,71.66666666666669
U1,Original,69,0.5,AV,77,67.59127548601232
U1,Original,69,0.5,AT,70,81.65908373249367
U1,Original,69,0.5,ATV,70,81.65564097979619
U1,Original,69,0.6,V,151,70.03347176594558
U1,Original,69,0.6,T,166,85.2105486483986
U1,Original,69,0.6,TV,56,85.54163185742134
U1,Original,69,0.6,A,148,62.58563074352548
U1,Original,69,0.6,AV,51,54.50242948192086
U1,Original,69,0.6,AT,65,84.12698412698413
U1,Original,69,0.6,ATV,49,91.3386524822695
U1,Original,69,0.7,V,173,68.6904727521556
U1,Original,69,0.7,T,194,87.7040620945961
U1,Original,69,0.7,TV,53,92.40824534942182
U1,Original,69,0.7,A,156,61.08104207259868
U1,Original,69,0.7,AV,48,58.613445378151255
U1,Original,69,0.7,AT,47,90.40974529346622
U1,Original,69,0.7,ATV,15,92.97173414820473
U1,Original,70,0.0,V,0,None
U1,Original,70,0.0,T,0,None
U1,Original,70,0.0,TV,0,None
U1,Original,70,0.0,A,0,None
U1,Original,70,0.0,AV,0,None
U1,Original,70,0.0,AT,0,None
U1,Original,70,0.0,ATV,686,87.466490502451
U1,Original,70,0.1,V,6,53.333333333333336
U1,Original,70,0.1,T,5,100.0
U1,Original,70,0.1,TV,64,87.3015873015873
U1,Original,70,0.1,A,8,72.61904761904762
U1,Original,70,0.1,AV,56,67.7735981339913
U1,Original,70,0.1,AT,55,83.25445941026575
U1,Original,70,0.1,ATV,492,87.35297539876792
U1,Original,70,0.2,V,30,55.799755799755815
U1,Original,70,0.2,T,26,87.66603415559771
U1,Original,70,0.2,TV,74,88.45018160913533
U1,Original,70,0.2,A,25,70.06172839506173
U1,Original,70,0.2,AV,93,67.22539682539683
U1,Original,70,0.2,AT,85,84.91514770584537
U1,Original,70,0.2,ATV,353,85.02368019693361
U1,Original,70,0.3,V,63,67.60443307757886
U1,Original,70,0.3,T,45,90.0
U1,Original,70,0.3,TV,115,81.11812554987884
U1,Original,70,0.3,A,44,73.27502429543247
U1,Original,70,0.3,AV,98,68.4608011634056
U1,Original,70,0.3,AT,86,85.20121951219511
U1,Original,70,0.3,ATV,235,87.22615604534423
U1,Original,70,0.4,V,70,65.8304694917294
U1,Original,70,0.4,T,82,84.15007215007215
U1,Original,70,0.4,TV,95,87.54319536928233
U1,Original,70,0.4,A,83,62.61357689929118
U1,Original,70,0.4,AV,107,54.88178019457344
U1,Original,70,0.4,AT,109,84.53426046646386
U1,Original,70,0.4,ATV,140,91.92023873238294
U1,Original,70,0.5,V,113,64.31938431938433
U1,Original,70,0.5,T,118,85.32114624505928
U1,Original,70,0.5,TV,84,87.88814066591844
U1,Original,70,0.5,A,128,55.873536149251954
U1,Original,70,0.5,AV,84,66.4796633941094
U1,Original,70,0.5,AT,86,85.67474048442907
U1,Original,70,0.5,ATV,73,89.87587338138573
U1,Original,70,0.6,V,116,61.56540579579309
U1,Original,70,0.6,T,164,87.24708793428495
U1,Original,70,0.6,TV,62,81.93785172498164
U1,Original,70,0.6,A,150,65.47441800691465
U1,Original,70,0.6,AV,75,63.44169826026077
U1,Original,70,0.6,AT,80,82.44224659833364
U1,Original,70,0.6,ATV,39,86.01398601398603
U1,Original,70,0.7,V,194,59.798258914256074
U1,Original,70,0.7,T,175,84.35389087563
U1,Original,70,0.7,TV,41,88.14979058881497
U1,Original,70,0.7,A,176,72.23145197997269
U1,Original,70,0.7,AV,35,61.87499999999999
U1,Original,70,0.7,AT,54,92.3076923076923
U1,Original,70,0.7,ATV,11,100.0
U2,Original,66,0.0,V,0,None
U2,Original,66,0.0,T,0,None
U2,Original,66,0.0,TV,0,None
U2,Original,66,0.0,A,0,None
U2,Original,66,0.0,AV,0,None
U2,Original,66,0.0,AT,0,None
U2,Original,66,0.0,ATV,686,86.72044163908976
U2,Original,66,0.1,V,8,63.095238095238095
U2,Original,66,0.1,T,7,50.0
U2,Original,66,0.1,TV,62,88.72111427666984
U2,Original,66,0.1,A,7,82.85714285714286
U2,Original,66,0.1,AV,58,70.85137085137086
U2,Original,66,0.1,AT,51,86.32366540563262
U2,Original,66,0.1,ATV,493,87.41643943816901
U2,Original,66,0.2,V,32,67.49590834697217
U2,Original,66,0.2,T,23,67.9040596660734
U2,Original,66,0.2,TV,87,90.58823529411765
U2,Original,66,0.2,A,21,90.47619047619048
U2,Original,66,0.2,AV,96,65.59139784946237
U2,Original,66,0.2,AT,82,88.35396833226457
U2,Original,66,0.2,ATV,345,84.11570951879774
U2,Original,66,0.3,V,41,68.76329245667225
U2,Original,66,0.3,T,43,92.70961524204905
U2,Original,66,0.3,TV,80,84.23848878394332
U2,Original,66,0.3,A,48,74.56059204440334
U2,Original,66,0.3,AV,122,64.86906922478612
U2,Original,66,0.3,AT,105,84.81786506176749
U2,Original,66,0.3,ATV,247,86.00466199136619
U2,Original,66,0.4,V,96,70.79794278900758
U2,Original,66,0.4,T,71,85.24305555555554
U2,Original,66,0.4,TV,102,89.94906621392191
U2,Original,66,0.4,A,73,64.20289855072464
U2,Original,66,0.4,AV,94,70.44342317724505
U2,Original,66,0.4,AT,103,85.4374834787206
U2,Original,66,0.4,ATV,147,86.35319636370596
U2,Original,66,0.5,V,122,68.00746569814365
U2,Original,66,0.5,T,129,89.19308758971499
U2,Original,66,0.5,TV,94,88.75553285665646
U2,Original,66,0.5,A,102,67.32776267659987
U2,Original,66,0.5,AV,85,62.166285278413426
U2,Original,66,0.5,AT,80,81.81444377990431
U2,Original,66,0.5,ATV,74,87.2034088360619
U2,Original,66,0.6,V,161,61.39720171006607
U2,Original,66,0.6,T,144,88.18328392364903
U2,Original,66,0.6,TV,83,83.22344322344321
U2,Original,66,0.6,A,136,68.35949883829501
U2,Original,66,0.6,AV,66,62.44042612839922
U2,Original,66,0.6,AT,63,90.09193619849357
U2,Original,66,0.6,ATV,33,84.90496766358837
U2,Original,66,0.7,V,173,67.12745098039215
U2,Original,66,0.7,T,202,87.70229322381955
U2,Original,66,0.7,TV,48,86.88127090301003
U2,Original,66,0.7,A,168,63.649417436233705
U2,Original,66,0.7,AV,41,69.3965802537231
U2,Original,66,0.7,AT,38,86.35410921125207
U2,Original,66,0.7,ATV,16,93.72549019607843
U2,Original,67,0.0,V,0,None
U2,Original,67,0.0,T,0,None
U2,Original,67,0.0,TV,0,None
U2,Original,67,0.0,A,0,None
U2,Original,67,0.0,AV,0,None
U2,Original,67,0.0,AT,0,None
U2,Original,67,0.0,ATV,686,87.38661660891802
U2,Original,67,0.1,V,6,66.66666666666666
U2,Original,67,0.1,T,7,85.71428571428571
U2,Original,67,0.1,TV,59,86.23985498290283
U2,Original,67,0.1,A,5,78.09523809523809
U2,Original,67,0.1,AV,62,78.32720743242906
U2,Original,67,0.1,AT,61,80.02658690594882
U2,Original,67,0.1,ATV,486,87.16787314613762
U2,Original,67,0.2,V,24,64.81481481481482
U2,Original,67,0.2,T,16,85.71428571428571
U2,Original,67,0.2,TV,85,86.66556963413964
U2,Original,67,0.2,A,19,72.1362229102167
U2,Original,67,0.2,AV,93,72.43052785533838
U2,Original,67,0.2,AT,80,89.325746799431
U2,Original,67,0.2,ATV,369,87.70869732369545
U2,Original,67,0.3,V,53,56.200734394124844
U2,Original,67,0.3,T,58,84.07061024082302
U2,Original,67,0.3,TV,93,86.56481227733624
U2,Original,67,0.3,A,49,76.05416737492209
U2,Original,67,0.3,AV,103,66.52973195029269
U2,Original,67,0.3,AT,97,93.70574162679426
U2,Original,67,0.3,ATV,233,82.95098247854153
U2,Original,67,0.4,V,94,53.61266371327233
U2,Original,67,0.4,T,90,86.36363636363636
U2,Original,67,0.4,TV,85,86.59206391165154
U2,Original,67,0.4,A,79,66.1699882038865
U2,Original,67,0.4,AV,92,63.84291480309806
U2,Original,67,0.4,AT,93,81.05166685760109
U2,Original,67,0.4,ATV,153,84.36397115237074
U2,Original,67,0.5,V,120,66.68785235613232
U2,Original,67,0.5,T,110,82.44897959183673
U2,Original,67,0.5,TV,85,88.33474218089603
U2,Original,67,0.5,A,125,59.56068605971894
U2,Original,67,0.5,AV,85,61.00427350427351
U2,Original,67,0.5,AT,81,82.62891435059143
U2,Original,67,0.5,ATV,80,88.04782596184282
U2,Original,67,0.6,V,161,57.77086905373461
U2,Original,67,0.6,T,153,83.76765144776789
U2,Original,67,0.6,TV,58,91.52551383882526
U2,Original,67,0.6,A,148,66.87395639608171
U2,Original,67,0.6,AV,65,68.71945259042033
U2,Original,67,0.6,AT,68,91.12721277334259
U2,Original,67,0.6,ATV,33,83.66228070175438
U2,Original,67,0.7,V,187,70.40146840584238
U2,Original,67,0.7,T,171,86.6020508554563
U2,Original,67,0.7,TV,41,73.68421052631578
U2,Original,67,0.7,A,168,72.13812642442645
U2,Original,67,0.7,AV,55,53.84615384615385
U2,Original,67,0.7,AT,46,95.47348484848487
U2,Original,67,0.7,ATV,18,94.42724458204333
U2,Original,68,0.0,V,0,None
U2,Original,68,0.0,T,0,None
U2,Original,68,0.0,TV,0,None
U2,Original,68,0.0,A,0,None
U2,Original,68,0.0,AV,0,None
U2,Original,68,0.0,AT,0,None
U2,Original,68,0.0,ATV,686,87.74958571752225
U2,Original,68,0.1,V,3,66.66666666666666
U2,Original,68,0.1,T,8,73.33333333333334
U2,Original,68,0.1,TV,75,90.12499752382084
U2,Original,68,0.1,A,4,85.71428571428571
U2,Original,68,0.1,AV,57,63.48927753052368
U2,Original,68,0.1,AT,50,87.12605983042712
U2,Original,68,0.1,ATV,489,86.45065650977665
U2,Original,68,0.2,V,29,64.72148541114058
U2,Original,68,0.2,T,19,78.94736842105263
U2,Original,68,0.2,TV,97,83.64491367188401
U2,Original,68,0.2,A,25,61.316770186335404
U2,Original,68,0.2,AV,91,77.60863456802367
U2,Original,68,0.2,AT,83,91.08692176895464
U2,Original,68,0.2,ATV,342,85.45869929339977
U2,Original,68,0.3,V,41,63.814960338053226
U2,Original,68,0.3,T,63,86.29624909731957
U2,Original,68,0.3,TV,102,85.51320311086995
U2,Original,68,0.3,A,49,64.16401728213906
U2,Original,68,0.3,AV,97,74.02841576754619
U2,Original,68,0.3,AT,96,89.24731182795699
U2,Original,68,0.3,ATV,238,86.35801414974016
U2,Original,68,0.4,V,70,63.262882562957024
U2,Original,68,0.4,T,68,92.19322344322345
U2,Original,68,0.4,TV,108,89.24365959937049
U2,Original,68,0.4,A,87,73.97435897435896
U2,Original,68,0.4,AV,92,52.83005337862973
U2,Original,68,0.4,AT,96,84.90126281888296
U2,Original,68,0.4,ATV,165,88.51514054415868
U2,Original,68,0.5,V,105,63.12755102040817
U2,Original,68,0.5,T,117,86.20689655172413
U2,Original,68,0.5,TV,90,87.0755270744893
U2,Original,68,0.5,A,116,71.56922101470286
U2,Original,68,0.5,AV,88,65.06024096385542
U2,Original,68,0.5,AT,92,86.29227914942201
U2,Original,68,0.5,ATV,78,85.47553093259464
U2,Original,68,0.6,V,152,60.0
U2,Original,68,0.6,T,150,84.95555902073912
U2,Original,68,0.6,TV,67,88.93991282689913
U2,Original,68,0.6,A,154,66.98536585365854
U2,Original,68,0.6,AV,52,75.4971590909091
U2,Original,68,0.6,AT,73,87.10342611794259
U2,Original,68,0.6,ATV,38,97.35104452253157
U2,Original,68,0.7,V,203,57.39783479979687
U2,Original,68,0.7,T,137,87.88657149696596
U2,Original,68,0.7,TV,44,81.13165266106444
U2,Original,68,0.7,A,188,55.59238996783908
U2,Original,68,0.7,AV,46,64.11522633744856
U2,Original,68,0.7,AT,46,88.69149718206323
U2,Original,68,0.7,ATV,22,81.81818181818183
U2,Original,69,0.0,V,0,None
U2,Original,69,0.0,T,0,None
U2,Original,69,0.0,TV,0,None
U2,Original,69,0.0,A,0,None
U2,Original,69,0.0,AV,0,None
U2,Original,69,0.0,AT,0,None
U2,Original,69,0.0,ATV,686,87.20121463804566
U2,Original,69,0.1,V,7,79.12087912087912
U2,Original,69,0.1,T,7,83.80952380952381
U2,Original,69,0.1,TV,52,83.6734693877551
U2,Original,69,0.1,A,9,64.28571428571428
U2,Original,69,0.1,AV,58,55.660618451316125
U2,Original,69,0.1,AT,49,85.23954116059379
U2,Original,69,0.1,ATV,504,86.7436103071934
U2,Original,69,0.2,V,24,83.33333333333334
U2,Original,69,0.2,T,23,91.30434782608695
U2,Original,69,0.2,TV,80,83.06531411910676
U2,Original,69,0.2,A,29,62.988505747126446
U2,Original,69,0.2,AV,87,67.5266758873118
U2,Original,69,0.2,AT,96,83.42857142857143
U2,Original,69,0.2,ATV,347,84.6539304729095
U2,Original,69,0.3,V,46,70.50108932461875
U2,Original,69,0.3,T,45,82.47413405308141
U2,Original,69,0.3,TV,102,83.42074592074593
U2,Original,69,0.3,A,50,59.19984777127634
U2,Original,69,0.3,AV,94,71.29919261066803
U2,Original,69,0.3,AT,105,89.33083490504036
U2,Original,69,0.3,ATV,244,86.92056722550394
U2,Original,69,0.4,V,79,63.58846241199182
U2,Original,69,0.4,T,78,84.3216358109975
U2,Original,69,0.4,TV,96,91.14560366875386
U2,Original,69,0.4,A,90,65.27493554019675
U2,Original,69,0.4,AV,101,65.91373950038181
U2,Original,69,0.4,AT,91,85.76134453781512
U2,Original,69,0.4,ATV,151,84.40474332969262
U2,Original,69,0.5,V,125,68.95695174544103
U2,Original,69,0.5,T,133,89.51000690131124
U2,Original,69,0.5,TV,88,76.29249671955148
U2,Original,69,0.5,A,123,71.66666666666669
U2,Original,69,0.5,AV,77,67.59127548601232
U2,Original,69,0.5,AT,70,81.65908373249367
U2,Original,69,0.5,ATV,70,81.65564097979619
U2,Original,69,0.6,V,151,70.03347176594558
U2,Original,69,0.6,T,166,85.2105486483986
U2,Original,69,0.6,TV,56,85.54163185742134
U2,Original,69,0.6,A,148,62.58563074352548
U2,Original,69,0.6,AV,51,54.50242948192086
U2,Original,69,0.6,AT,65,84.12698412698413
U2,Original,69,0.6,ATV,49,91.3386524822695
U2,Original,69,0.7,V,173,68.6904727521556
U2,Original,69,0.7,T,194,87.7040620945961
U2,Original,69,0.7,TV,53,92.40824534942182
U2,Original,69,0.7,A,156,61.08104207259868
U2,Original,69,0.7,AV,48,58.613445378151255
U2,Original,69,0.7,AT,47,90.40974529346622
U2,Original,69,0.7,ATV,15,92.97173414820473
U2,Original,70,0.0,V,0,None
U2,Original,70,0.0,T,0,None
U2,Original,70,0.0,TV,0,None
U2,Original,70,0.0,A,0,None
U2,Original,70,0.0,AV,0,None
U2,Original,70,0.0,AT,0,None
U2,Original,70,0.0,ATV,686,87.466490502451
U2,Original,70,0.1,V,6,53.333333333333336
U2,Original,70,0.1,T,5,100.0
U2,Original,70,0.1,TV,64,87.3015873015873
U2,Original,70,0.1,A,8,72.61904761904762
U2,Original,70,0.1,AV,56,67.7735981339913
U2,Original,70,0.1,AT,55,83.25445941026575
U2,Original,70,0.1,ATV,492,87.35297539876792
U2,Original,70,0.2,V,30,55.799755799755815
U2,Original,70,0.2,T,26,87.66603415559771
U2,Original,70,0.2,TV,74,88.45018160913533
U2,Original,70,0.2,A,25,70.06172839506173
U2,Original,70,0.2,AV,93,67.22539682539683
U2,Original,70,0.2,AT,85,84.91514770584537
U2,Original,70,0.2,ATV,353,85.02368019693361
U2,Original,70,0.3,V,63,67.60443307757886
U2,Original,70,0.3,T,45,90.0
U2,Original,70,0.3,TV,115,81.11812554987884
U2,Original,70,0.3,A,44,73.27502429543247
U2,Original,70,0.3,AV,98,68.4608011634056
U2,Original,70,0.3,AT,86,85.20121951219511
U2,Original,70,0.3,ATV,235,87.22615604534423
U2,Original,70,0.4,V,70,65.8304694917294
U2,Original,70,0.4,T,82,84.15007215007215
U2,Original,70,0.4,TV,95,87.54319536928233
U2,Original,70,0.4,A,83,62.61357689929118
U2,Original,70,0.4,AV,107,54.88178019457344
U2,Original,70,0.4,AT,109,84.53426046646386
U2,Original,70,0.4,ATV,140,91.92023873238294
U2,Original,70,0.5,V,113,64.31938431938433
U2,Original,70,0.5,T,118,85.32114624505928
U2,Original,70,0.5,TV,84,87.88814066591844
U2,Original,70,0.5,A,128,55.873536149251954
U2,Original,70,0.5,AV,84,66.4796633941094
U2,Original,70,0.5,AT,86,85.67474048442907
U2,Original,70,0.5,ATV,73,89.87587338138573
U2,Original,70,0.6,V,116,61.56540579579309
U2,Original,70,0.6,T,164,87.24708793428495
U2,Original,70,0.6,TV,62,81.93785172498164
U2,Original,70,0.6,A,150,65.47441800691465
U2,Original,70,0.6,AV,75,63.44169826026077
U2,Original,70,0.6,AT,80,82.44224659833364
U2,Original,70,0.6,ATV,39,86.01398601398603
U2,Original,70,0.7,V,194,59.798258914256074
U2,Original,70,0.7,T,175,84.35389087563
U2,Original,70,0.7,TV,41,88.14979058881497
U2,Original,70,0.7,A,176,72.23145197997269
U2,Original,70,0.7,AV,35,61.87499999999999
U2,Original,70,0.7,AT,54,92.3076923076923
U2,Original,70,0.7,ATV,11,100.0
U3,Original,66,0.0,V,0,None
U3,Original,66,0.0,T,0,None
U3,Original,66,0.0,TV,0,None
U3,Original,66,0.0,A,0,None
U3,Original,66,0.0,AV,0,None
U3,Original,66,0.0,AT,0,None
U3,Original,66,0.0,ATV,686,86.72044163908976
U3,Original,66,0.1,V,8,63.095238095238095
U3,Original,66,0.1,T,7,50.0
U3,Original,66,0.1,TV,62,88.72111427666984
U3,Original,66,0.1,A,7,82.85714285714286
U3,Original,66,0.1,AV,58,70.85137085137086
U3,Original,66,0.1,AT,51,86.32366540563262
U3,Original,66,0.1,ATV,493,87.41643943816901
U3,Original,66,0.2,V,32,67.49590834697217
U3,Original,66,0.2,T,23,67.9040596660734
U3,Original,66,0.2,TV,87,90.58823529411765
U3,Original,66,0.2,A,21,90.47619047619048
U3,Original,66,0.2,AV,96,65.59139784946237
U3,Original,66,0.2,AT,82,88.35396833226457
U3,Original,66,0.2,ATV,345,84.11570951879774
U3,Original,66,0.3,V,41,68.76329245667225
