audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1974 validation_wf1=0.0573 task=1.9254 recon=3.3090
epoch=063 train_wf1=0.5723 validation_wf1=0.5946 task=0.9869 recon=0.8466
epoch=064 train_wf1=0.5565 validation_wf1=0.5984 task=0.9971 recon=0.8654
epoch=065 train_wf1=0.5692 validation_wf1=0.5790 task=0.9799 recon=0.8479
epoch=066 train_wf1=0.5598 validation_wf1=0.5974 task=0.9877 recon=0.8636
epoch=067 train_wf1=0.5931 validation_wf1=0.5744 task=0.9694 recon=0.8773
epoch=068 train_wf1=0.5631 validation_wf1=0.5614 task=0.9795 recon=0.8622
epoch=069 train_wf1=0.5746 validation_wf1=0.5169 task=0.9622 recon=0.8254
epoch=070 train_wf1=0.5877 validation_wf1=0.5712 task=0.9551 recon=0.8659
epoch=071 train_wf1=0.5575 validation_wf1=0.5135 task=1.0171 recon=0.8760
epoch=072 train_wf1=0.5653 validation_wf1=0.5817 task=0.9863 recon=0.8430
epoch=073 train_wf1=0.5833 validation_wf1=0.5978 task=0.9718 recon=0.8702
epoch=074 train_wf1=0.6050 validation_wf1=0.5979 task=0.9119 recon=0.8765
epoch=075 train_wf1=0.6190 validation_wf1=0.5324 task=0.9131 recon=0.8161
epoch=076 train_wf1=0.5467 validation_wf1=0.5718 task=1.0444 recon=0.8702
epoch=077 train_wf1=0.5773 validation_wf1=0.4967 task=0.9767 recon=0.8288
epoch=078 train_wf1=0.5348 validation_wf1=0.6051 task=1.0132 recon=0.8871
epoch=079 train_wf1=0.5829 validation_wf1=0.5626 task=0.9737 recon=0.8366
epoch=080 train_wf1=0.6006 validation_wf1=0.5955 task=0.9417 recon=0.8488
epoch=081 train_wf1=0.5993 validation_wf1=0.6011 task=0.9253 recon=0.8654
epoch=082 train_wf1=0.6247 validation_wf1=0.5494 task=0.8774 recon=0.8551
epoch=083 train_wf1=0.6068 validation_wf1=0.6154 task=0.8947 recon=0.8611
epoch=084 train_wf1=0.6199 validation_wf1=0.5872 task=0.8829 recon=0.8651
epoch=085 train_wf1=0.6344 validation_wf1=0.5720 task=0.8559 recon=0.8719
epoch=086 train_wf1=0.6124 validation_wf1=0.5819 task=0.8912 recon=0.8289
epoch=087 train_wf1=0.6154 validation_wf1=0.5875 task=0.8847 recon=0.8289
epoch=088 train_wf1=0.6281 validation_wf1=0.5694 task=0.8758 recon=0.8585
epoch=089 train_wf1=0.6357 validation_wf1=0.5853 task=0.8638 recon=0.8334
epoch=090 train_wf1=0.6476 validation_wf1=0.5473 task=0.8314 recon=0.8180
epoch=091 train_wf1=0.6273 validation_wf1=0.5852 task=0.8528 recon=0.8545
epoch=092 train_wf1=0.6490 validation_wf1=0.5795 task=0.8262 recon=0.8572
epoch=093 train_wf1=0.6607 validation_wf1=0.5985 task=0.8123 recon=0.8296
epoch=094 train_wf1=0.6358 validation_wf1=0.5590 task=0.8492 recon=0.8182
epoch=095 train_wf1=0.6516 validation_wf1=0.5644 task=0.8450 recon=0.8243
epoch=096 train_wf1=0.6152 validation_wf1=0.6007 task=0.8986 recon=0.8760
epoch=097 train_wf1=0.6186 validation_wf1=0.5242 task=0.8858 recon=0.8083
epoch=098 train_wf1=0.6326 validation_wf1=0.6202 task=0.8464 recon=0.8538
epoch=099 train_wf1=0.6468 validation_wf1=0.5668 task=0.8098 recon=0.8485
epoch=100 train_wf1=0.6428 validation_wf1=0.5949 task=0.8404 recon=0.8474
